,u,v,r,x0,y0,psi,delta,thrust,beta,U,u1d,v1d,r1d
62.28999999999999,1.1834384307874453,0.2205301386526943,-0.07202578868303992,-12.091653918344253,-17.30704471298312,-4.855658077567807,0.2617993877991494,30,-0.1842338251489754,1.2038106418863506,-6.671451017694915e-05,-1.8876936402523925e-05,4.696134082715796e-06
62.29999999999999,1.1834377681274326,0.22052995113224771,-0.07202574203447284,-12.092152928373551,-17.295019078509274,-4.856378332741956,0.2617993877991494,30,-0.18423377285493023,1.2038099560880988,-6.663742500133217e-05,-1.8855144172525218e-05,4.690709239744955e-06
62.30999999999999,1.18343710617386,0.22052976381174655,-0.07202569543564687,-12.09264311352564,-17.282993060732284,-4.857098587488481,0.2617993877991494,30,-0.18423372061660392,1.203809271020964,-6.656042205721275e-05,-1.8833375207321427e-05,4.685290194777881e-06
62.31999999999999,1.1834364449252555,0.220529576690777,-0.07202564888645857,-12.093124471918054,-17.270966665543,-4.857818841808274,0.2617993877991494,30,-0.1842336684338828,1.2038085866834232,-6.648350117350315e-05,-1.8811629459283264e-05,4.679876935840893e-06
62.32999999999999,1.1834357843801468,0.22052938976892528,-0.07202560238680457,-12.093597001668325,-17.258939898832285,-4.8585390957022225,0.2617993877991494,30,-0.18423361630665316,1.203807903073953,-6.640666217914538e-05,-1.878990688073947e-05,4.674469451005689e-06
62.33999999999999,1.1834351245370622,0.2205292030457775,-0.07202555593658146,-12.094060700893984,-17.246912766490986,-4.859259349171218,0.2617993877991494,30,-0.18423356423480117,1.2038072201910313,-6.632990490313423e-05,-1.8768207424078504e-05,4.669067728358904e-06
62.34999999999999,1.1834344653945297,0.22052901652091994,-0.07202550953568582,-12.094515567712566,-17.23488527440995,-4.859979602216149,0.2617993877991494,30,-0.18423351221821316,1.2038065380331344,-6.625322917437458e-05,-1.874653104160833e-05,4.6636717558656305e-06
62.35999999999999,1.1834338069510768,0.22052883019393868,-0.07202546318401425,-12.094961600241604,-17.222857428480033,-4.860699854837906,0.2617993877991494,30,-0.18423346025677537,1.2038058565987397,-6.61766348218126e-05,-1.8724877685701392e-05,4.658281521629191e-06
62.36999999999999,1.1834331492052321,0.22052864406442,-0.07202541688146334,-12.095398796598626,-17.21082923459209,-4.861420107037378,0.2617993877991494,30,-0.18423340835037405,1.2038051758863246,-6.610012167443573e-05,-1.870324730872725e-05,4.652897013723216e-06
62.37999999999999,1.183432492155523,0.22052845813195,-0.0720253706279297,-12.095827154901169,-17.198800698636976,-4.862140358815456,0.2617993877991494,30,-0.18423335649889547,1.2038044958943654,-6.602368956116435e-05,-1.868163986299497e-05,4.647518220189642e-06
62.38999999999999,1.183431835800478,0.2205282723961149,-0.07202532442330993,-12.096246673266766,-17.186771826505527,-4.862860610173028,0.2617993877991494,30,-0.18423330470222582,1.20380381662134,-6.59473383109856e-05,-1.8660055300868408e-05,4.642145129042726e-06
62.39999999999999,1.1834311801386248,0.22052808685650088,-0.0720252782675006,-12.096657349812947,-17.174742624088623,-4.863580861110984,0.2617993877991494,30,-0.18423325296025145,1.2038031380657248,-6.5871067752792e-05,-1.8638493574716915e-05,4.636777728339487e-06
62.40999999999999,1.1834305251684916,0.2205279015126941,-0.07202523216039833,-12.097059182657247,-17.1627130972771,-4.864301111630214,0.2617993877991494,30,-0.1842332012728585,1.2038024602259974,-6.579487771562086e-05,-1.8616954636846494e-05,4.6314160061624805e-06
62.41999999999999,1.183429870888606,0.2205277163642808,-0.07202518610189969,-12.097452169917194,-17.15068325196181,-4.865021361731608,0.2617993877991494,30,-0.18423314963993337,1.2038017831006347,-6.571876802837587e-05,-1.8595438439703035e-05,4.626059950558911e-06
